TDDD
Printing last weeks
100 194.12902850897757 0.9222820643266437
150 300.6749246686721 0.8842310830294652
200 395.03032685806886 0.9046003076044367
250 514.6508256786781 0.8507505083654651
300 637.8632573815156 0.875342672207609
350 721.3461506073077 0.8639479034006572
400 869.1095142920168 0.8794007927488615
450 871.6433405943163 0.8727690954909171
500 1036.237041413232 0.8128751237835474
550 1148.9188532876133 0.8348447563246884
600 1314.3178622574521 0.8158591410373113
650 1362.3504818145652 0.8174379159502803
700 1528.670428250775 0.8225675058603791
750 1597.268318586936 0.8101588195522706
800 1822.2878660218712 0.7794410426611769
850 1750.7026344840554 0.845888394258272
900 2033.4335603164648 0.8626159964547346
950 1926.0524957937605 0.8601100828248651
1000 2207.06456021367 0.7701588290296375
Printing last month
100 194.19428500970733 0.864314753473227
150 300.30394747121983 0.82256886137445
200 395.35591898134527 0.8395959291510976
250 514.1799951668494 0.7855134487945732
300 637.432410810137 0.8061086214149381
350 719.7074140145868 0.7960135743610159
400 869.6724827824357 0.8098186155686755
450 869.2731635632607 0.8034072703867666
500 1037.7723959850618 0.7444362767042856
550 1148.26133691737 0.7670967556166369
600 1316.482264337633 0.746784865851623
650 1363.8860157427753 0.7478840576618098
700 1528.1772378559263 0.7509482482026014
750 1592.262954761705 0.7415159879997766
800 1823.7467870390633 0.7081190044860115
850 1748.9634720135666 0.7782315473119108
900 2034.5829698352409 0.7901807961522185
950 1925.5502407057754 0.789184603028272
1000 2206.693918157199 0.698095683560016
Printing last year
100 193.9381750450429 0.4199757618348373
150 305.3509070246464 0.34951872634180087
200 393.57484612107856 0.3495537205120152
250 520.2338636816228 0.29883668453144635
300 642.2488273518003 0.26963871726496313
350 738.6743538516263 0.2780543799478785
400 873.492521058432 0.28074714694334424
450 897.0795904629613 0.26909960542870903
500 1032.3009531289263 0.23176112404541588
550 1145.7048357794868 0.25261280017084664
600 1327.861494311409 0.22821699346881952
650 1348.9515352821873 0.20721049742465225
700 1533.342502591415 0.20157611781416923
750 1642.6047584784874 0.2141488327582602
800 1833.8769435216407 0.15450984720072114
850 1725.168889484998 0.25563738523216994
900 2053.2560394794236 0.21771582998792635
950 1938.5153214913562 0.25197931296217085
1000 2193.7729062011276 0.14285469917608398


KR
Printing last weeks
100 112.15880702989627 0.955476703341084
150 171.70475677555174 0.949723471006096
200 222.83299481161885 0.9461549121193704
250 334.5405728191765 0.9436287468045661
300 410.43985344294754 0.9395974458648797
350 455.66339787934305 0.9364863650045875
400 617.0434915508005 0.9373020267016129
450 507.84127488909206 0.9362403599701534
500 732.8492300711713 0.9364053812728145
550 677.1046241064315 0.9329841492754246
600 968.2418595467539 0.9314976640980968
650 769.1143887427833 0.9331343086156688
700 1023.5921951720892 0.9293328836195602
750 1041.645832117255 0.9293826080542217
800 1355.3594029753017 0.9313735110806529
850 1030.972543798095 0.932742817595204
900 1767.7422747358282 0.9212646818487009
950 1066.6410372730381 0.9297071560486366
1000 1643.0114256571621 0.9245975761451819
Printing last month
100 112.21633259765235 0.8986605908818258
150 171.24859947611935 0.8885377985380329
200 223.113832202998 0.8813533422620657
250 333.6843578863731 0.8777228463455174
300 410.06330338468257 0.8694772385581468
350 454.0857148040462 0.8643054517573538
400 617.0329506718804 0.8657257506678521
450 504.96743338879554 0.8646585938973732
500 732.8322454709521 0.8640997602280591
550 675.0917280997057 0.8597438336793327
600 968.8622680165442 0.8556159352186307
650 770.7235415869517 0.8586238723059948
700 1023.2935663828604 0.851613939733593
750 1034.9458169903223 0.8528003537193084
800 1354.934172943856 0.8554748653073843
850 1030.1394239078493 0.8585575194007361
900 1767.941884541617 0.8426616474792936
950 1065.9508411264173 0.8545831195635987
1000 1640.164894081766 0.8441415260120966
Printing last year
100 112.14733547573219 0.4575890087791067
150 176.9501303867293 0.41666757591452497
200 221.21170057980672 0.38330101474774125
250 345.2226332452335 0.3805380678399606
300 419.2104091257263 0.32905662388262213
350 479.8481493629074 0.3081046055830431
400 621.7151601575476 0.31119631830667444
450 536.2011847231967 0.31901017903099516
500 730.9260320610614 0.3257934350682185
550 681.5393771241359 0.3056716206512373
600 998.8742146304838 0.27147452826412855
650 774.1725237713528 0.29245684459954135
700 1038.4379833209268 0.24897471214742387
750 1115.1555979370933 0.26574846729233403
800 1357.489204775714 0.2698587353687079
850 1023.0078576074185 0.2994649450035295
900 1847.9185036051804 0.23448448531965196
950 1075.1627188108507 0.2879905308292999
1000 1638.164985931752 0.23153910908348493


