Winnowing
Running winnowing equals ../../thesis-datasets/gcc/
gcc-2.7.0.tar gcc-2.7.1.tar
100 23.358680041967997 0.9405063188088981
150 27.34144384690349 0.9267739528588257
200 29.90833399497155 0.9165259222657666
250 31.705027752403225 0.9083781558648967
300 33.05107726575597 0.9012804330713121
350 34.09959216384899 0.8959639192189199
400 34.91321793697812 0.8679515831709859
450 35.57068645546639 0.8869940917791772
500 36.11390413226521 0.859423279494382
550 36.579525577167836 0.879810110094237
600 36.97171781678087 0.8765323430137731
650 37.31944055500663 0.8737510335492932
700 37.617183547169006 0.8478339355291772
750 37.881379339935584 0.8685331316260421
800 38.11961222163004 0.8656477239262413
850 38.33176626058452 0.8638802130527365
900 38.526793506720196 0.8623448260239217
950 38.70074080568097 0.8599884044264227
1000 38.86091880820955 0.8585913077088619
1050 39.00621152314169 0.833237494053552
1100 39.1442949300583 0.8304798641944545
1150 39.26599741211691 0.8289307790979522
1200 39.37907089224062 0.827448768518938
1250 39.4851253783993 0.8259658022607829
1300 39.58237829174116 0.8249698076182493
1350 39.67153079679619 0.8236574477845234
1400 39.75599425305957 0.8215491134129214
1450 39.83598698273577 0.8200750668267488
1500 39.917543019344045 0.8181594964774375
1550 39.98522428934351 0.8161866207751903
1600 40.05535013497266 0.8147532790413193
1650 40.117118831310826 0.8130941846570315
1700 40.17782126289503 0.8112792791772381
1750 40.23641537326569 0.8094101123595505
1800 40.290640878825 0.8078703008902682
1850 40.347375050519624 0.8056435684917542
1900 40.39612341251798 0.8039014008132476
1950 40.44574242684533 0.802480412117162
2000 40.49223325182954 0.8000895860705872
2050 40.53766773419654 0.7988650425312613
2100 40.57661787791178 0.7975806451612903
2150 40.61430002832002 0.7961122618589163
2200 40.65088238044878 0.7944827581324755
2250 40.685128382367765 0.7923840513433309
2300 40.71661528838851 0.7913392108780355
2350 40.74938520008943 0.7892306995288147
2400 40.78061849003441 0.7881199172027908
2450 40.81030796787427 0.7864452841835811
2500 40.83708909465675 0.7839880915299927
2550 40.864023605305405 0.7821788493339978
2600 40.89170388853991 0.7810418389248822
2650 40.915866032145104 0.7797339743226712
2700 40.93970079351739 0.779693375656941
2750 40.9639197081562 0.7787206358735049
2800 40.98757264763828 0.7774565555341609
2850 41.0096456021425 0.7756168023967017
2900 41.029120461001355 0.7751763404992751
2950 41.05064172140878 0.7738727587554367
3000 41.0703346576595 0.7726221641106379
3050 41.0899867358574 0.7713718880255528
3100 41.10822203435948 0.7704758857375861
3150 41.12725181783112 0.7689683195904313
3200 41.14569998412553 0.768199387232693
3250 41.16620403762231 0.767842848122055
3300 41.1821657685025 0.7660169700299021
3350 41.19898096825515 0.7649939332072309
3400 41.21502825748889 0.7636443372825299
3450 41.228380468727195 0.762102968410203
3500 41.24258420142944 0.7608715581392714
3550 41.2574604579301 0.7599784582842516
3600 41.27246803636959 0.7581658535135013
3650 41.28489219987082 0.7567733936095505
3700 41.29768604464194 0.75577562919083
3750 41.30982338293545 0.7542942203357195
3800 41.32063826364208 0.7529416511870243
3850 41.33387758207256 0.7521395886190648
3900 41.34573366602518 0.7513789388138818
3950 41.35759655345555 0.7509130629304096
4000 41.367346161843045 0.7496272143439652
4050 41.377645769990096 0.7479366887345958
4100 41.387889877076375 0.7469893629372055
4150 41.39747179692319 0.7457921093466836
4200 41.40808986260893 0.7444695202065966
4250 41.41950276939677 0.7428149210538239
4300 41.430071386254184 0.7420508732783617
4350 41.439308155805755 0.7408420807471005
4400 41.4490963320721 0.7398081774986408
4450 41.458889133465405 0.73874171036834
4500 41.468077892379114 0.7375459787853389
4550 41.47873221322402 0.7368696765132294
4600 41.48774699842579 0.7360497392057811
4650 41.49566862403539 0.7352292001744292
4700 41.504751747106276 0.7333053118770387
4750 41.51322885044331 0.7320646279788873
4800 41.52213658783208 0.7307329775847228
4850 41.53037659659227 0.7291998558694274
4900 41.538070222641736 0.7280400861385465
4950 41.545277949746556 0.7264038572625952
5000 41.55206038339692 0.7255667885216563
therealshah@DESKTOP-7189EGR:/mnt/c/Users/therealshah/Desktop/Thesis/code$ javac Winnowing.javag
therealshah@DESKTOP-7189EGR:/mnt/c/Users/therealshah/Desktop/Thesis/code$ java -Xmx4g Winnowing
Running winnowing equals ../../thesis-datasets/emacs/
emacs-19.28.tar emacs-19.29.tar
100 21.183762080244858 0.6825637316233969
150 24.44939846047106 0.6522784421918987
200 26.474755913038486 0.6317233746969816
250 27.868132092641574 0.6154669538825461
300 28.90048103789067 0.6008919494838911
350 29.67763458484121 0.5882548580700657
400 30.288177932387175 0.579017988055208
450 30.782672635653885 0.5702053438770722
500 31.186470387062542 0.5620538725269785
550 31.54281662022531 0.5542715827338129
600 31.833092831221972 0.5470214385556772
650 32.08719346049046 0.5406851760439475
700 32.30711081943917 0.534490220323741
750 32.50274022652539 0.5288939093290584
800 32.67278392453297 0.5232075786381765
850 32.82367190445252 0.5179346298776196
900 32.96540057195795 0.5134398154031123
950 33.09015339581295 0.5086063350406631
1000 33.20530882792967 0.5044041533077885
1050 33.306860623522866 0.5003423008875508
1100 33.40385390466764 0.4955952052216922
1150 33.490480915796255 0.49235171645292464
1200 33.57001786311236 0.4887608255786675
1250 33.64626756452316 0.48503058287066
1300 33.711717185239344 0.4818573809430716
1350 33.77822351403192 0.47836139715944637
1400 33.83449896700087 0.47577104756412264
1450 33.89289204724279 0.47224732781709416
1500 33.9450798874763 0.4692330273009853
1550 33.997005024165425 0.46639858289998437
1600 34.04342405054735 0.46371989365029714
1650 34.08844364058174 0.4614290802412418
